"","NEPA_DOC_NBR","numact","H","projarea","footprint","E"
"4120","52139",8,0.986019683945709,11175822.0706513,10704982.2330586,0.060755665134162
"4121","52140",2,0.688736935095842,11548629.8522717,5705928.376389,0.0423523341964646
"4122","52160",27,2.07408487968727,270055896.446401,121770785.39762,0.106833726914007
"4123","52177",1,0,2969491.01539853,2969491.01539853,0
"4124","52187",4,1.24628931168723,7127787.85608372,1780320.52040842,0.0789814889276946
"4125","52193",2,0.693147180559945,6467348.59995212,3233674.29942905,0.0441993972006265
"4126","52200",1,0,71267348.8278517,71267348.8278517,0
"4127","52201",1,0,3753240.9548745,3753240.9548745,0
"4128","52219",1,0,102999.617107207,102999.617107207,0
"4129","52221",5,1.6094379124341,272002.823846164,54400.5647692327,0.128615431469635
"4130","52235",1,0,1459773.71983871,1459217.33723108,0
"4131","52239",9,2.10577117760623,3803885.47153539,789503.236554742,0.138980728546623
"4132","52240",27,2.45715875881082,61108941.1813044,4756188.73508758,0.137055758066322
"4133","52243",13,2.40529544810546,7469294.20986547,808644.826463863,0.151980801942029
"4134","52247",2,0.0201719863131163,206680931.447751,192617556.00855,0.00105354971110394
"4135","52252",3,0.96511826922282,8312576.55447725,3446083.96153852,0.0605724784046733
"4136","52262",2,0.647262654265173,2763555.5706314,1801528.89944788,0.0436395228969175
"4137","52276",18,2.08087497194395,102223251.47956,17767406.3217072,0.112829379021536
"4138","52283",6,1.50160314363768,11603777.7072486,3487570.53375981,0.0923106778351528
"4139","52289",5,1.40484355671695,4205816.25900504,2189468.6827876,0.0921089362520773
"4140","52305",3,1.09861228866811,3313164.26895871,1104388.0896529,0.0731753796577196
"4141","52321",1,0,39793721.4907092,39793721.4907092,0
"4142","52339",6,1.70690890899012,2184678.3869721,519525.272927768,0.116935763724242
"4143","52340",5,1.12089096838001,4825798.91524873,3481725.30689191,0.0728348501006394
"4144","52341",6,1.04168400647054,3633961.14333887,2917887.65247786,0.0689590536891053
"4145","52347",2,0.693147180559945,4914587.10701581,2457283.52915458,0.0449870102116544
"4146","52353",6,1.49908262691112,4609945.8371636,1066298.85603466,0.0977000346494169
"4147","52389",1,0,2309620.66725391,2309620.66725391,0
"4148","52402",2,0.693147180559945,6905020.82308099,3452503.87931947,0.0440156065820847
"4149","52406",1,0,1694039.49709715,1694039.49709715,0
"4150","52450",2,0.693147180559945,1339200.21405474,669600.107027372,0.0491329502546484
"4151","52451",1,0,663495.297127498,663495.297127498,0
"4152","52452",4,1.33217904021012,289422.939269275,57884.5878538549,0.105933262949215
"4153","52453",1,0,398001.11171689,398001.11171689,0
"4154","52466",6,1.73542577731463,2885302.18782653,640128.683476261,0.116666179568109
"4155","52471",2,0.192919993601091,806235852.164562,381004809.682362,0.00940711223670745
"4156","52473",3,1.09861228866811,685289.676941914,228429.892313971,0.0817566039305514
"4157","52475",20,1.93094571632688,182821426.83535,48680761.9488902,0.101500401766531
"4158","52478",1,0,103786.881790143,103786.881790143,0
"4159","52494",6,1.24004242491739,7308703.75877955,2336530.84397665,0.0784609714518296
"4160","52502",1,0,2126528.25340996,2126528.25340996,0
"4161","52549",1,0,6480520.83293429,6013609.3148419,0
"4162","52565",2,0.693147180559945,8720754.50932164,4360372.88464171,0.0433726173745699
"4163","52573",2,0.514932113844494,15499915.0838283,11123765.0147256,0.0311017987743189
"4164","5259",14,2.00130484800878,71568544.3921027,22206566.7951344,0.110653901143628
"4165","52594",2,0.0770891613264111,8517510.40125214,8508775.63240194,0.00483086391052081
"4166","52595",4,1.11169841379677,77647049.8193669,34168287.6504454,0.0611909810215777
"4167","52596",7,1.79499590019648,7156883.26347434,1291057.10904194,0.113725486549398
"4168","52608",1,0,1435649.4991776,1083541.85852047,0
"4169","52612",1,0,17493866.908753,17493866.908753,0
"4170","52618",9,2.09472904752765,10571358.6457386,880946.553811547,0.129514852643932
"4171","52620",2,0.693147180559945,171484.347961731,85700.8514570113,0.0575118618704688
"4172","52629",2,0.693147180559945,9026083.48250106,4513018.30657008,0.0432794226106711
"4173","52632",2,0.693147180559945,347388832.043427,173694416.021714,0.0352460468487304
"4174","52633",16,2.6032258864016,11995225.4337132,2431480.63283577,0.159706921003333
"4175","52641",1,0,5509611.92468913,5509611.92468913,0
"4176","52652",3,0.95745480065692,9899595.01325838,4949797.50662919,0.0594396907583156
"4177","52653",7,1.43868963648402,10316639.5058546,1967530.66838891,0.0890869839952135
"4178","52670",8,1.64746912615015,20967635.5979406,7910828.23546507,0.0977234060186261
"4179","52671",12,1.97312677777533,48510174.0947319,11270363.8641856,0.111493196674485
"4180","52677",16,2.58263735088636,47662537.9435656,4332706.97660228,0.14607961320603
"4181","52679",1,0,36016.9840613187,36016.9840613187,0
"4182","52699",3,0.0328430461509884,1095010152.41903,575997192.665197,0.00157792830050067
"4183","52709",14,2.40237707251111,52501456.7486815,5952713.54774609,0.135144552914623
"4184","52711",5,1.6094379124341,237661.654503166,47532.3309006332,0.130017730646886
"4185","52712",2,0.693147180559945,32248.9442038657,16124.4721019329,0.0667692049869304
"4186","52713",1,0,10794992.1623401,10794992.155671,0
"4187","52715",11,2.13858665636644,2711188.0212527,277476.994106447,0.144373284099663
"4188","52718",5,1.43225970984927,37503822.365607,14513138.2703887,0.0821252027299958
"4189","52726",5,1.56239722302845,3019504.72420495,742281.281476782,0.104714077810423
"4190","52727",3,1.09861228866811,35820044.1299737,11940014.7099912,0.0631603506954578
"4191","52733",4,1.26462582233648,995722.241389561,490651.116584225,0.0915650819076266
"4192","52736",3,1.04719766046523,3886658.67366917,1466497.18416658,0.0690169045198097
"4193","52737",4,1.24379151655401,1357724.57549754,1357724.57549754,0.0880789791940352
"4194","52739",4,1.38629436111989,11628676.7922349,2907169.19805872,0.0852108710562028
"4195","52741",2,0.074964578572061,348087039.573063,304714590.040212,0.00381150697273477
"4196","52748",1,0,18388491.6149925,14274509.4874632,0
"4197","52765",6,1.77755073873314,1176966.79170131,392435.295655043,0.127163640443868
"4198","52766",7,1.79161685565783,4039038.83192337,611826.78430476,0.117780285772562
"4199","52767",1,0,122319.504422141,122319.504422141,0
